,GENRE,FILM_ID
2333,Short,1001
2334,Action,1001
2335,Short,1002
2336,Action,1002
2337,Action,1003
2338,Adventure,1003
2339,Thriller,1003
2340,Adventure,1004
2341,Comedy,1004
2342,Action,1005
2343,Crime,1005
2344,Drama,1005
2345,Short,1006
2346,Comedy,1006
2347,Action,1007
2348,Thriller,1007
2349,Action,1008
2350,Thriller,1008
2351,Western,1008
2352,Action,1009
2353,Adventure,1009
2354,Thriller,1009
2355,Action,1010
2356,Adventure,1010
2357,Thriller,1010
2358,Comedy,1011
2359,Action,1012
2360,Adventure,1012
2361,Comedy,1012
2362,Action,1013
2363,Action,1014
2364,Adventure,1014
2365,Sci-Fi,1014
2366,Action,1015
2367,Adventure,1015
2368,Comedy,1015
2369,Action,1016
2370,Sci-Fi,1016
2371,Animation,1017
2372,Adventure,1017
2373,Drama,1017
2374,Action,1018
2375,Drama,1018
2376,Thriller,1018
2377,Short,1019
2378,Action,1019
2379,Sci-Fi,1019
2380,Action,1020
2381,Mystery,1020
2382,Sci-Fi,1020
2383,Short,1021
2384,Music,1021
2385,Action,1022
2386,Fantasy,1022
2387,Horror,1022
2388,Action,1023
2389,Sci-Fi,1023
2390,Adventure,1024
2391,Comedy,1024
2392,Family,1024
2393,Action,1025
2394,Crime,1025
2395,Thriller,1025
2396,Short,1026
2397,Action,1026
2398,Sci-Fi,1026
2399,Comedy,1027
2400,Romance,1027
2401,Sci-Fi,1027
2402,Action,1028
2403,Comedy,1028
2404,Thriller,1028
2405,Short,1029
2406,Action,1029
2407,Sci-Fi,1029
2408,Action,1030
2409,Adventure,1030
2410,Comedy,1030
2411,Biography,1031
2412,History,1031
2413,Comedy,1032
2414,Romance,1032
2415,Short,1033
2416,Comedy,1033
2417,Action,1034
2418,Adventure,1034
2419,Sci-Fi,1034
2420,Short,1035
2421,Music,1035
2422,Action,1036
2423,Sci-Fi,1036
2424,Short,1037
2425,Comedy,1037
2426,Action,1038
2427,Comedy,1038
2428,Crime,1038
2429,Action,1039
2430,Adventure,1039
2431,Sci-Fi,1039
2432,Comedy,1040
2433,Crime,1040
2434,Fantasy,1040
2435,Comedy,1041
2436,Crime,1041
2437,Action,1042
2438,Comedy,1042
2439,Crime,1042
2440,Action,1043
2441,Sci-Fi,1043
2442,Thriller,1043
2443,Action,1044
2444,Adventure,1044
2445,Horror,1044
2446,Action,1045
2447,Crime,1045
2448,Thriller,1045
2449,Music,1046
2450,Action,1047
2451,Adventure,1047
2452,Thriller,1047
2453,Action,1048
2454,Adventure,1048
2455,Fantasy,1048
2456,Action,1049
2457,Sci-Fi,1049
2458,Action,1050
2459,Adventure,1050
2460,Fantasy,1050
2461,Short,1051
2462,Music,1051
2463,Action,1052
2464,Adventure,1052
2465,Fantasy,1052
2466,Biography,1053
2467,Drama,1053
2468,Comedy,1054
2469,Comedy,1055
2470,Western,1055
2471,Comedy,1056
2472,Action,1057
2473,Crime,1057
2474,Drama,1057
2475,Comedy,1058
2476,Drama,1058
2477,Comedy,1059
2478,Romance,1059
2479,Comedy,1060
2480,Crime,1060
2481,Drama,1060
2482,Adventure,1061
2483,Comedy,1061
2484,Fantasy,1061
2485,Action,1062
2486,Adventure,1062
2487,Thriller,1062
2488,Western,1063
