,FILM_NAME,FILM_YEAR,RATING,FILM_LINK,ACTOR_ID
86,Tom Petty and the Heartbreakers: Into the Great Wide Open,1991,7.7,https://www.imdb.com/title/tt5292294/?ref_=nm_flmg_i_85_act,0
87,Edward mit den Scherenhänden,1990,7.9,https://www.imdb.com/title/tt0099487/?ref_=nm_flmg_i_86_act,0
88,21 Jump Street: Tatort Klassenzimmer,1987–1991,7.2,https://www.imdb.com/title/tt0092312/?ref_=nm_flmg_i_87_act,0
89,Cry-Baby,1990,6.5,https://www.imdb.com/title/tt0099329/?ref_=nm_flmg_i_88_act,0
90,R.P.G. II,1988,6.3,https://www.imdb.com/title/tt3494988/?ref_=nm_flmg_i_89_act,0
91,Hotel,1983–1988,6.3,https://www.imdb.com/title/tt0085032/?ref_=nm_flmg_i_90_act,0
92,R.P.G.,1986,5.5,https://www.imdb.com/title/tt3494986/?ref_=nm_flmg_i_91_act,0
93,Platoon,1986,8.1,https://www.imdb.com/title/tt0091763/?ref_=nm_flmg_i_92_act,0
94,Slow Burn,1986,4.9,https://www.imdb.com/title/tt0091972/?ref_=nm_flmg_i_93_act,0
95,Dummies,1985,7.1,https://www.imdb.com/title/tt3494942/?ref_=nm_flmg_i_94_act,0
96,Die Lady mit dem Colt,1985–1991,6.6,https://www.imdb.com/title/tt0088549/?ref_=nm_flmg_i_95_act,0
97,Die Superaufreißer,1985,5.2,https://www.imdb.com/title/tt0089839/?ref_=nm_flmg_i_96_act,0
98,Nightmare - Mörderische Träume,1984,7.4,https://www.imdb.com/title/tt0087800/?ref_=nm_flmg_i_97_act,0
99,Jeanne du Barry,-,-,https://www.imdb.com/title/tt17277414/?ref_=nm_flmg_unrel_1_prd,0
100,Shane,2020,7.7,https://www.imdb.com/title/tt11778272/?ref_=nm_flmg_i_1_prd,0
101,Minamata,2020,7.3,https://www.imdb.com/title/tt9179096/?ref_=nm_flmg_i_2_prd,0
102,City of Lies,2018,6.5,https://www.imdb.com/title/tt2677722/?ref_=nm_flmg_i_3_prd,0
103,Doug Stanhope: The Comedians' Comedian's Comedians,2017,6.1,https://www.imdb.com/title/tt6678722/?ref_=nm_flmg_i_4_prd,0
104,Doug Stanhope: No Place Like Home,2016,7.6,https://www.imdb.com/title/tt5841088/?ref_=nm_flmg_i_5_prd,0
105,Mortdecai - Der Teilzeitgauner,2015,5.5,https://www.imdb.com/title/tt3045616/?ref_=nm_flmg_i_6_prd,0
106,LaDonna Harris: Indian 101,2014,8.7,https://www.imdb.com/title/tt3605292/?ref_=nm_flmg_i_7_prd,0
107,Lone Ranger,2013,6.4,https://www.imdb.com/title/tt1210819/?ref_=nm_flmg_i_8_prd,0
108,Dark Shadows,2012,6.2,https://www.imdb.com/title/tt1077368/?ref_=nm_flmg_i_9_prd,0
109,Rum Diary,2011,6.1,https://www.imdb.com/title/tt0376136/?ref_=nm_flmg_i_10_prd,0
110,Hugo Cabret,2011,7.5,https://www.imdb.com/title/tt0970179/?ref_=nm_flmg_i_11_prd,0
111,Modigliani,-,-,https://www.imdb.com/title/tt21803918/?ref_=nm_flmg_unrel_1_dr,0
112,Babybird: Unloveable,2010,8.3,https://www.imdb.com/title/tt14649776/?ref_=nm_flmg_i_1_dr,0
113,Unloveable,2009,8.5,https://www.imdb.com/title/tt8045334/?ref_=nm_flmg_i_2_dr,0
114,Vanessa Paradis: Il y a,2009,8.9,https://www.imdb.com/title/tt10998154/?ref_=nm_flmg_i_3_dr,0
115,Vanessa Paradis: L'Incendie,2008,8.7,https://www.imdb.com/title/tt8416526/?ref_=nm_flmg_i_4_dr,0
116,Vanessa Paradis: Pourtant,2001,8.6,https://www.imdb.com/title/tt8408070/?ref_=nm_flmg_i_5_dr,0
117,Vanessa Paradis: Que fait la vie?,2001,8.6,https://www.imdb.com/title/tt8408056/?ref_=nm_flmg_i_6_dr,0
118,The Brave,1997,6.2,https://www.imdb.com/title/tt0118768/?ref_=nm_flmg_i_7_dr,0
119,Shane MacGowan and the Popes: That Woman's Got Me Drinking,1994,6.8,https://www.imdb.com/title/tt8403886/?ref_=nm_flmg_i_8_dr,0
120,Banter,1994,8.5,https://www.imdb.com/title/tt8391658/?ref_=nm_flmg_i_9_dr,0
121,Stuff,1993,6.8,https://www.imdb.com/title/tt0811090/?ref_=nm_flmg_i_10_dr,0
122,"The Every Cake, Neil",1988,8.8,https://www.imdb.com/title/tt8391510/?ref_=nm_flmg_i_11_dr,0
123,King Lear,-,-,https://www.imdb.com/title/tt1371129/?ref_=nm_flmg_unrel_1_act,1
124,Sniff,-,-,https://www.imdb.com/title/tt15384508/?ref_=nm_flmg_unrel_2_act,1
125,Knox Goes Away,-,-,https://www.imdb.com/title/tt20115766/?ref_=nm_flmg_unrel_3_act,1
126,Billy Knight,-,-,https://www.imdb.com/title/tt22379462/?ref_=nm_flmg_unrel_4_act,1
127,Hunters,2020–2023,7.2,https://www.imdb.com/title/tt7456722/?ref_=nm_flmg_i_1_act,1
128,House of Gucci,2021,6.6,https://www.imdb.com/title/tt11214590/?ref_=nm_flmg_i_2_act,1
129,American Traitor: The Trial of Axis Sally,2021,5.7,https://www.imdb.com/title/tt7050946/?ref_=nm_flmg_i_3_act,1
130,The Irishman,2019,7.8,https://www.imdb.com/title/tt1302006/?ref_=nm_flmg_i_4_act,1
131,Once Upon a Time In... Hollywood,2019,7.6,https://www.imdb.com/title/tt7131622/?ref_=nm_flmg_i_5_act,1
132,Paterno,2018,6.5,https://www.imdb.com/title/tt2388986/?ref_=nm_flmg_i_6_act,1
133,Hangman: The Killing Game,2017,5.2,https://www.imdb.com/title/tt3011960/?ref_=nm_flmg_i_7_act,1
134,The Pirates of Somalia,2017,6.7,https://www.imdb.com/title/tt5126922/?ref_=nm_flmg_i_8_act,1
135,Ruf der Macht - Im Sumpf der Korruption,2016,5.3,https://www.imdb.com/title/tt3658772/?ref_=nm_flmg_i_9_act,1
136,Mr. Collins' zweiter Frühling,2015,7.0,https://www.imdb.com/title/tt1772288/?ref_=nm_flmg_i_10_act,1
137,Manglehorn - Schlüssel zum Glück,2014,5.5,https://www.imdb.com/title/tt2893490/?ref_=nm_flmg_i_11_act,1
138,Der letzte Akt,2014,5.6,https://www.imdb.com/title/tt1568343/?ref_=nm_flmg_i_12_act,1
139,Salomé,2013,6.4,https://www.imdb.com/title/tt3112900/?ref_=nm_flmg_i_13_act,1
140,Der Fall Phil Spector,2013,6.2,https://www.imdb.com/title/tt1745862/?ref_=nm_flmg_i_14_act,1
141,No somos animales,2013,4.9,https://www.imdb.com/title/tt1859476/?ref_=nm_flmg_i_15_act,1
142,Stand Up Guys,2012,6.4,https://www.imdb.com/title/tt1389096/?ref_=nm_flmg_i_16_act,1
143,Jack und Jill,2011,3.3,https://www.imdb.com/title/tt0810913/?ref_=nm_flmg_i_17_act,1
144,Ein Cop mit dunkler Vergangenheit,2011,5.1,https://www.imdb.com/title/tt1535612/?ref_=nm_flmg_i_18_act,1
145,Ein Leben für den Tod,2010,7.6,https://www.imdb.com/title/tt1132623/?ref_=nm_flmg_i_19_act,1
146,Kurzer Prozess - Righteous Kill,2008,6.0,https://www.imdb.com/title/tt1034331/?ref_=nm_flmg_i_20_act,1
147,Ocean's 13,2007,6.9,https://www.imdb.com/title/tt0496806/?ref_=nm_flmg_i_21_act,1
148,88 Minuten,2007,5.9,https://www.imdb.com/title/tt0411061/?ref_=nm_flmg_i_22_act,1
149,Scarface: Money. Power. Respect.,2006,9.1,https://www.imdb.com/title/tt19373098/?ref_=nm_flmg_i_23_act,1
150,Das schnelle Geld,2005,6.2,https://www.imdb.com/title/tt0417217/?ref_=nm_flmg_i_24_act,1
151,Der Kaufmann von Venedig,2004,7.0,https://www.imdb.com/title/tt0379889/?ref_=nm_flmg_i_25_act,1
152,Engel in Amerika,2003,8.1,https://www.imdb.com/title/tt0318997/?ref_=nm_flmg_i_26_act,1
153,Liebe mit Risiko - Gigli,2003,2.6,https://www.imdb.com/title/tt0299930/?ref_=nm_flmg_i_27_act,1
154,Der Einsatz,2003,6.6,https://www.imdb.com/title/tt0292506/?ref_=nm_flmg_i_28_act,1
155,Im inneren Kreis,2002,5.4,https://www.imdb.com/title/tt0274711/?ref_=nm_flmg_i_29_act,1
156,S1m0ne,2002,6.1,https://www.imdb.com/title/tt0258153/?ref_=nm_flmg_i_30_act,1
