,ACTOR_ID,AWARD_NAME,YEAR,OUTCOME,DESCRIPTION,FILM
6626,40,Australian Film Critics Association Awards,2015,Nominee - AFCA Award,Best Actor,The Rover (2014)
6627,40,Australian Film Institute,2010,Nominee - AFI Award,Best Supporting Actor,Animal Kingdom (2010)
6628,40,Australian Film Institute,2009,Nominee - AFI International Award,Best Actor,Bedtime Stories (2008)
6629,40,Australian Film Institute,2008,Nominee - AFI Award,Best Lead Actor,Death Defying Acts (2007)
6630,40,Australian Film Institute,2005,Nominee - AFI Award,Best Lead Actor,The Proposition (2005)
6631,40,Awards Circuit Community Awards,2009,Nominee - ACCA,Best Cast Ensemble,The Hurt Locker (2008)
6632,40,Awards Circuit Community Awards,2001,Nominee - ACCA,Best Actor in a Leading Role,Memento (2000)
6633,40,Boston Society of Film Critics Awards,2001,Nominee - BSFC Award,Best Actor,Memento (2000)
6634,40,British Independent Film Awards,2010,Nominee - British Independent Film Award,Best Supporting Actor,The King's Speech (2010)
6635,40,Chicago Film Critics Association Awards,2002,Nominee - CFCA Award,Best Actor,Memento (2000)
6636,40,Chicago Film Critics Association Awards,1998,Nominee - CFCA Award,Most Promising Actor,L.A. Confidential (1997)
6637,40,Chlotrudis Awards,2007,Nominee - Chlotrudis Award,Best Actor,The Proposition (2005)
6638,40,Chlotrudis Awards,1998,Nominee - Chlotrudis Award,Best Actor,L.A. Confidential (1997)
6639,40,Denver Film Critics Society,2010,Nominee - DFCS Award,Best Acting Ensemble,The Hurt Locker (2008)
6640,40,Faro Island Film Festival,1994,Winner - Golden Train Award,Best Actor,"The Adventures of Priscilla, Queen of the Desert (1994)"
6641,40,Film Critics Circle of Australia Awards,2015,Nominee - FCCA Award,Best Actor,The Rover (2014)
6642,40,Film Critics Circle of Australia Awards,2011,Nominee - FCCA Award,Best Supporting Actor - Male,Animal Kingdom (2010)
6643,40,Film Critics Circle of Australia Awards,2005,Nominee - FCCA Award,Best Actor in a Lead Role,The Proposition (2005)
6644,40,Film Critics Circle of Australia Awards,2002,Nominee - FCCA Award,Best Actor - Male,The Hard Word (2002)
6645,40,Gold Derby Awards,2011,Winner - Gold Derby TV Award,TV Movie/Mini Supporting Actor,Mildred Pierce (2011)
6646,40,"Golden Globes, USA",2012,Nominee - Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",Mildred Pierce (2011)
6647,40,Golden Schmoes Awards,2001,Winner - Golden Schmoes,Best Actor of the Year,Memento (2000)
6648,40,Golden Schmoes Awards,2001,Winner - Golden Schmoes,Breakthrough Performance of the Year,Memento (2000)
6649,40,Golden Schmoes Awards,2001,Nominee - Golden Schmoes,Favorite Celebrity of the Yea,
6650,40,Gotham Awards,2009,Winner - Gotham Independent Film Award,Best Ensemble Performance,The Hurt Locker (2008)
6651,40,IF Awards,2005,Nominee - IF Award,Best Actor,The Proposition (2005)
6652,40,Las Vegas Film Critics Society Awards,2002,Winner - Sierra Award,Best Actor,Memento (2000)
6653,40,Logie Awards,2022,Winner - Silver Logie,Most Popular Actor,Jack Irish (2016)
6654,40,Logie Awards,2019,Nominee - Silver Logie,Most Popular Actor,Jack Irish (2016)
6655,40,Logie Awards,2013,Nominee - Silver Logie,Most Outstanding Actor,Jack Irish: Bad Debts (2012)
6656,40,Logie Awards,1996,Nominee - Silver Logie,Most Popular Actor,Snowy River: The McGregor Saga (1994)
6657,40,New York International Independent Film & Video Festival,2001,Winner - Feature Film Award,Best Actor,Woundings (1998)
6658,40,Online Film & Television Association,2011,Nominee - OFTA Television Award,Best Supporting Actor in a Motion Picture or Miniseries,Mildred Pierce (2011)
6659,40,Online Film & Television Association,2002,Nominee - OFTA Film Award,Best Actor,Memento (2000)
6660,40,Online Film Critics Society Awards,2002,Nominee - OFCS Award,Best Actor,Memento (2000)
6661,40,Pena de Prata,2021,Nominee - Pena de Prata,Best Ensemble in a Limited Series or Anthology Series or TV Special,Mare of Easttown (2021)
6662,40,Phoenix Film Critics Society Awards,2010,Nominee - PFCS Award,Best Ensemble Acting,The King's Speech (2010)
6663,40,Phoenix Film Critics Society Awards,2002,Nominee - PFCS Award,Best Actor in a Leading Role,Memento (2000)
6664,40,San Diego Film Critics Society Awards,2001,Winner - SDFCS Award,Best Actor,Memento (2000)
6665,40,Santa Barbara International Film Festival,2011,Winner - Jury Award,Best Motion Picture Ensemble of the Year,The King's Speech (2010)
6666,40,Satellite Awards,2011,Nominee - Satellite Award,"Best Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television",Mildred Pierce (2011)
